,y_test,LR,SVR,DT,RF,URF,GB,XGB,BT,NN
1757,45.55725,36.75193507494713,-0.9161395663653107,46.586603499999995,48.25737070731748,49.31711134955308,48.72135830711725,50.71665766759398,48.6751139,50.68537442656267
1758,75.4714295,83.13210303593385,-0.69622096166872,65.800838,68.85524511506286,68.31606580341942,71.16644854045175,70.13512865489255,70.89855225,73.71076211107452
1759,45.3887865,59.099806409961964,-0.9454357304171299,47.520691,47.40908391369191,47.55537131118254,48.64563391952232,49.67582073541103,47.17921919999999,42.95204860667019
1760,46.613479,47.09876993752872,-0.941212968228567,45.635909999999996,46.60922806962596,47.71929616794914,48.926166785857056,49.74550598481981,45.91189734999999,44.30080384781597
1761,54.93614399999999,39.4478692527885,-0.876368897167524,52.0290015,53.0180565303977,52.659650632484755,54.749019278501834,53.58510098259884,53.90849479999999,55.66545552261927
1762,239.4635455,252.52127430587905,1.4104981574321098,244.784676,251.01879887002812,253.0876766892869,250.6733058272518,249.93026837938731,253.66809940000002,257.77587810330607
1763,217.977785,212.50464832444786,0.9492109387261074,209.71717400000003,218.53047124897444,211.16202039494652,217.42406806402633,217.17388253930758,220.70942829999998,217.87634818835406
1764,64.2549505,52.515778297582,-0.8340156173402884,67.9419195,66.75370670379846,63.5382613818019,59.10037980521747,57.578291224128236,67.03514449999999,55.900424003960474
1765,47.359875,36.35242009806962,-0.9520664115391373,47.232708,48.52150084527574,48.65667723923045,49.83833064844847,50.84298119765088,47.650829599999994,50.73330964324221
1766,292.3309315,275.26524585224445,1.7892916081604175,312.6444395,284.2196499401219,280.4337672037407,284.56296590437677,289.52252483920614,292.21069095,279.8697454824008
1767,52.921355500000004,61.020883584336374,-0.8583126259629595,51.8249225,52.52433919877409,51.939779311313686,50.58617466803623,49.206766061462766,52.281259750000004,57.28577652423644
1768,244.920583,236.15691432573033,1.3545753608910012,272.821722,247.18759621590578,250.25486249436327,249.65916710767993,250.8802176347174,249.7105837,259.9314482424056
1769,63.760048,71.01279570243935,-0.7882472606959826,59.8285775,59.38118684441792,59.4414651200727,59.83392742958024,58.19224505378612,57.67434230000001,61.35851119545633
1770,56.404027,53.35977519198431,-0.8944000132391996,53.646556999999994,57.771897382163594,58.852956920699,55.27573697467882,56.79887683914969,58.1920562,50.64456154646858
1771,51.0474995,56.626049689833685,-0.8445582152240994,50.9701505,51.99125257058543,52.02959719259993,51.845760795559066,51.96345010829641,51.7629996,40.67911335157012
1772,210.1369125,216.48834301911305,0.968185223382819,212.46677799999998,211.74460592219805,210.1714083420243,217.42406806402633,213.06248725215178,211.00201954999997,222.24902234379576
1773,53.180933499999995,41.70461738398447,-0.905984626905252,54.2917875,52.96273758705359,53.1007616411158,55.705694473748785,54.52172746766504,52.5676914,52.80309644590815
1774,49.5582035,35.72035826387588,-0.9211579909112209,45.6260775,47.70932805363094,48.304866108280265,48.508402264420894,50.197974727001075,47.4859932,52.35733577521329
1775,250.9588305,230.8084637624229,1.3062654820546886,259.093367,247.1402557620242,243.68952810056038,246.44776287943273,245.9742334057616,252.06000495000004,238.82591982149484
1776,286.6171565,296.78757812879553,1.9223157257726757,290.40376150000003,293.7671836570415,292.6194014931246,295.1588124230993,293.6147319064545,294.7955678,288.4141113493646
1777,223.13678849999997,153.98014522421164,0.7808841160524607,196.85539,216.18216077790225,212.47291864920328,220.97711710644327,216.11788458413244,217.15694605,179.64011800473946
1778,136.128996,137.10669421076568,0.005690168627352901,147.1507915,142.78542732371452,141.1094367633242,142.75643001684043,146.3340785773211,140.90595225,120.02869569503284
1779,55.458140500000006,74.30930775698955,-0.8391303851400377,55.0670255,55.48157031401942,56.893939651210765,57.51162051740004,56.92632133867165,55.02409024999999,49.81075319597892
1780,52.794844,49.40210099469642,-0.8812365002496612,58.8335285,53.30439232016371,51.9995173301156,55.82991006172722,55.32659491919579,53.74780990000001,53.0689556096628
1781,264.87444,240.2154550214538,1.335210393995458,262.9732715,249.1322486109122,246.27540769561384,252.86902412629976,256.440556295381,239.83101879999995,234.96827486872738
