Day,Power_kW,temp_C,solarRad_W/m2,Week day,Hour,Holiday,Cluster
2018-07-10,45.902043,17.3775,1.878,1,23,0.0,1
2018-07-11,48.6501175,16.576666666666668,1.73025,2,5,0.0,1
2018-07-11,52.373357500000004,16.77,6.0355,2,6,0.0,1
2018-07-11,131.60036499999998,17.366666666666664,57.07833333333332,2,7,0.0,1
2018-07-11,227.88872650000002,17.985000000000003,165.44166666666666,2,8,0.0,1
2018-07-11,254.055194,18.769999999999996,348.85833333333335,2,9,0.0,0
2018-07-11,284.9360175,19.654166666666665,643.9,2,10,0.0,2
2018-07-11,293.9757995,19.86666666666667,561.5833333333334,2,11,0.0,0
2018-07-11,283.6564815,19.876666666666665,286.2083333333333,2,12,0.0,0
2018-07-11,288.92211299999997,20.200833333333332,320.31666666666666,2,13,0.0,0
2018-07-11,302.0699135,20.388333333333335,404.97499999999997,2,14,0.0,0
2018-07-11,299.4265005,20.83083333333333,541.9333333333334,2,15,0.0,0
2018-07-11,300.271003,21.710833333333337,804.4166666666666,2,16,0.0,2
2018-07-11,284.53944,21.665000000000003,605.3666666666667,2,17,0.0,2
2018-07-11,274.0311195,19.75166666666667,187.74166666666667,2,18,0.0,0
2018-07-11,223.0144285,18.890833333333333,74.66250000000001,2,19,0.0,1
2018-07-11,104.585025,18.736666666666668,8.121,2,20,0.0,1
2018-07-11,61.605856499999994,18.686666666666667,2.5695833333333336,2,21,0.0,1
2018-07-11,50.8879945,18.596666666666668,2.1406666666666667,2,22,0.0,1
2018-07-11,45.6942495,18.1875,2.2699166666666666,2,23,0.0,1
2018-07-12,46.1426115,17.85083333333333,2.025583333333333,3,0,0.0,1
2018-07-12,52.624851,16.89916666666667,2.21925,3,5,0.0,1
2018-07-12,51.661703,16.74,5.018166666666667,3,6,0.0,1
2018-07-12,130.8231605,16.775000000000002,33.667500000000004,3,7,0.0,1
2018-07-12,203.308569,16.9425,75.78500000000001,3,8,0.0,1
2018-07-12,237.1452605,17.24,141.8,3,9,0.0,1
2018-07-12,255.918999,17.86416666666667,243.88333333333333,3,10,0.0,0
2018-07-12,261.56962749999997,18.5625,381.5416666666667,3,11,0.0,0
2018-07-12,246.298444,18.996666666666666,379.18333333333334,3,12,0.0,0
2018-07-12,250.92758500000002,19.445000000000004,517.0333333333333,3,13,0.0,0
2018-07-12,261.894537,20.055833333333336,630.05,3,14,0.0,2
2018-07-12,267.43591549999996,20.065833333333334,793.525,3,15,0.0,2
2018-07-12,263.366353,20.275833333333335,769.7416666666667,3,16,0.0,2
2018-07-12,255.553667,20.165833333333335,621.1833333333333,3,17,0.0,2
2018-07-12,243.655905,19.779166666666665,421.73333333333335,3,18,0.0,0
2018-07-12,199.27789950000002,19.0975,233.35000000000002,3,19,0.0,0
2018-07-12,102.0244235,18.21333333333333,52.24516666666668,3,20,0.0,1
2018-07-12,64.411615,17.307499999999997,3.0425833333333334,3,21,0.0,1
2018-07-12,53.1105765,16.985000000000003,2.637,3,22,0.0,1
2018-07-12,48.3761185,17.099166666666665,2.994666666666667,3,23,0.0,1
2018-07-13,47.1577625,16.835833333333333,2.2539166666666666,4,0,0.0,1
2018-07-13,45.573419,16.89,2.0812500000000003,4,1,0.0,1
2018-07-13,46.503355,16.781666666666666,2.3833333333333333,4,4,0.0,1
2018-07-13,58.61786899999999,16.68416666666667,1.7766666666666666,4,5,0.0,1
2018-07-13,57.125514,16.905,9.586250000000001,4,6,0.0,1
2018-07-13,125.985352,17.200833333333332,108.7625,4,7,0.0,1
2018-07-13,213.59926349999998,17.860000000000003,163.75000000000003,4,8,0.0,1
2018-07-13,234.6622265,19.15416666666667,373.7333333333333,4,9,0.0,0
2018-07-13,256.5327655,19.23166666666667,301.5333333333333,4,10,0.0,0
2018-07-13,248.83916200000002,19.840833333333332,368.88333333333327,4,11,0.0,0
2018-07-13,255.85650800000002,20.534166666666668,509.2916666666667,4,12,0.0,0
2018-07-13,254.543323,20.558333333333334,415.075,4,13,0.0,0
2018-07-13,264.4079425,20.893333333333334,549.575,4,14,0.0,0
2018-07-13,263.202915,21.385,695.6416666666668,4,15,0.0,2
2018-07-13,269.05281549999995,21.2375,494.84166666666664,4,16,0.0,0
2018-07-13,254.949296,21.054166666666667,647.3166666666666,4,17,0.0,2
